stock_code,category_code,year,quarter,data
MSN,IS_060,2022,0,4754384
MSN,IS_060,2023,0,1869927
MSN,IS_061,2021,0,8562882
MSN,IS_061,2022,0,3566996
MSN,IS_061,2023,0,418695
MSN,IS_062,2021,0,1538499
MSN,IS_062,2022,0,1187388
MSN,IS_062,2023,0,1451232
MSN,IS_070,2021,0,7269
MSN,IS_070,2022,0,2511
MSN,IS_070,2023,0,294
MSN,IS_071,2021,0,0
MSN,IS_071,2022,0,0
MSN,IS_071,2023,0,0
GAS,IS_001,2021,0,78992156
GAS,IS_001,2022,0,100723549
GAS,IS_001,2023,0,90014136
GAS,IS_002,2021,0,0
GAS,IS_002,2022,0,0
GAS,IS_002,2023,0,60230
GAS,IS_010,2021,0,78992156
GAS,IS_010,2022,0,100723549
GAS,IS_010,2023,0,89953906
GAS,IS_011,2021,0,65006501
GAS,IS_011,2022,0,79409012
GAS,IS_011,2023,0,73028985
GAS,IS_020,2021,0,13985654
GAS,IS_020,2022,0,21314536
GAS,IS_020,2023,0,16924921
GAS,IS_021,2021,0,1186807
GAS,IS_021,2022,0,1568073
GAS,IS_021,2023,0,2272915
GAS,IS_022,2021,0,402749
GAS,IS_022,2022,0,671395
GAS,IS_022,2023,0,586713
GAS,IS_023,2021,0,304138
GAS,IS_023,2022,0,336861
GAS,IS_023,2023,0,339976
GAS,IS_024,2021,0,15053
GAS,IS_024,2022,0,31818
GAS,IS_024,2023,0,26727
GAS,IS_025,2021,0,2132583
GAS,IS_025,2022,0,2440389
GAS,IS_025,2023,0,2543871
GAS,IS_026,2021,0,1479072
GAS,IS_026,2022,0,1074753
GAS,IS_026,2023,0,1474856
GAS,IS_030,2021,0,11173110
GAS,IS_030,2022,0,18727890
GAS,IS_030,2023,0,14619122
GAS,IS_031,2021,0,83102
GAS,IS_031,2022,0,111967
GAS,IS_031,2023,0,33550
GAS,IS_032,2021,0,51215
GAS,IS_032,2022,0,33582
GAS,IS_032,2023,0,13131
GAS,IS_040,2021,0,31887
GAS,IS_040,2022,0,78384
GAS,IS_040,2023,0,20419
GAS,IS_050,2021,0,11204998
GAS,IS_050,2022,0,18806274
GAS,IS_050,2023,0,14639542
GAS,IS_051,2021,0,2304278
GAS,IS_051,2022,0,3709948
GAS,IS_051,2023,0,2812599
GAS,IS_052,2021,0,48907
GAS,IS_052,2022,0,29933
GAS,IS_052,2023,0,33846
GAS,IS_060,2021,0,8851812
GAS,IS_060,2022,0,15066392
GAS,IS_060,2023,0,11793095
GAS,IS_061,2021,0,8672965
GAS,IS_061,2022,0,14798317
GAS,IS_061,2023,0,11606030
GAS,IS_062,2021,0,178847
GAS,IS_062,2022,0,268075
GAS,IS_062,2023,0,187064
GAS,IS_070,2021,0,4356
GAS,IS_070,2022,0,7649
GAS,IS_070,2023,0,4972
GAS,IS_071,2021,0,4356
GAS,IS_071,2022,0,7649
GAS,IS_071,2023,0,0
VRE,IS_001,2021,0,5891141
VRE,IS_001,2022,0,7361437
VRE,IS_001,2023,0,9791334
VRE,IS_002,2021,0,0
VRE,IS_002,2022,0,0
VRE,IS_002,2023,0,0
VRE,IS_010,2021,0,5891141
VRE,IS_010,2022,0,7361437
VRE,IS_010,2023,0,9791334
VRE,IS_011,2021,0,3499036
VRE,IS_011,2022,0,3544916
VRE,IS_011,2023,0,4445450
VRE,IS_020,2021,0,2392105
VRE,IS_020,2022,0,3816520
VRE,IS_020,2023,0,5345884
VRE,IS_021,2021,0,387018
VRE,IS_021,2022,0,538573
VRE,IS_021,2023,0,1146339
VRE,IS_022,2021,0,486280
VRE,IS_022,2022,0,359155
VRE,IS_022,2023,0,330425
VRE,IS_023,2021,0,486176
VRE,IS_023,2022,0,359155
VRE,IS_023,2023,0,330425
VRE,IS_024,2021,0,0
VRE,IS_024,2022,0,0
VRE,IS_024,2023,0,0
VRE,IS_025,2021,0,201764
VRE,IS_025,2022,0,171973
VRE,IS_025,2023,0,341268
VRE,IS_026,2021,0,433167
VRE,IS_026,2022,0,371265
VRE,IS_026,2023,0,438650
VRE,IS_030,2021,0,1657912
VRE,IS_030,2022,0,3452699
VRE,IS_030,2023,0,5381879
VRE,IS_031,2021,0,84095
VRE,IS_031,2022,0,88319
VRE,IS_031,2023,0,212433
VRE,IS_032,2021,0,49730
VRE,IS_032,2022,0,16528
VRE,IS_032,2023,0,68227
VRE,IS_040,2021,0,34365
VRE,IS_040,2022,0,71790
VRE,IS_040,2023,0,144206
VRE,IS_050,2021,0,1692277
VRE,IS_050,2022,0,3524490
VRE,IS_050,2023,0,5526086
VRE,IS_051,2021,0,379237
VRE,IS_051,2022,0,807615
VRE,IS_051,2023,0,1111151
VRE,IS_052,2021,0,-1973
VRE,IS_052,2022,0,-60253
VRE,IS_052,2023,0,6127
VRE,IS_060,2021,0,1315013
VRE,IS_060,2022,0,2777127
VRE,IS_060,2023,0,4408807
VRE,IS_061,2021,0,1314510
VRE,IS_061,2022,0,2776055
VRE,IS_061,2023,0,4408600
VRE,IS_062,2021,0,503
VRE,IS_062,2022,0,1071
VRE,IS_062,2023,0,207
VRE,IS_070,2021,0,578
VRE,IS_070,2022,0,1222
VRE,IS_070,2023,0,1940
VRE,IS_071,2021,0,0
VRE,IS_071,2022,0,0
VRE,IS_071,2023,0,0
VJC,IS_001,2021,0,12874919
VJC,IS_001,2022,0,40141863
VJC,IS_001,2023,0,58340618
VJC,IS_002,2021,0,0
VJC,IS_002,2022,0,0
VJC,IS_002,2023,0,0
VJC,IS_010,2021,0,12874919
VJC,IS_010,2022,0,40141863
VJC,IS_010,2023,0,58340618
VJC,IS_011,2021,0,14913724
VJC,IS_011,2022,0,42135151
VJC,IS_011,2023,0,55819871
VJC,IS_020,2021,0,-2038804
VJC,IS_020,2022,0,-1993287
VJC,IS_020,2023,0,2520746
VJC,IS_021,2021,0,4032772
