ticker,yearReport,lengthReport,category,data
HPG,2021,4,Financial Income,856740188535.0
HPG,2021,4,Interest Expenses,-629506996556.0
HPG,2021,4,Net Sales,44710731501475.0
HPG,2021,4,Gross Profit,9587409683943.0
HPG,2021,4,Financial Expenses,-1183606068306.0
HPG,2021,4,General & Admin Expenses,-508851797720.0
HPG,2021,4,Operating Profit/Loss,8040286636164.0
HPG,2021,4,Net income from associated companies,0.0
HPG,2021,4,Other Income/Expenses,-232353037621.0
HPG,2021,4,Cost of Sales,-35123321817532.0
HPG,2021,4,Selling Expenses,-711387745434.0
HPG,2021,4,Sales,45048125720816.0
HPG,2021,4,Sales deductions,-337394219341.0
HPG,2021,4,Gain/(loss) from joint ventures,-17624854.0
HPG,2021,4,Other income,230422663333.0
HPG,2021,4,Net other income/expenses,-1930374288.0
HPG,2021,4,Profit before tax,8038356261876.0
HPG,2021,4,Tax For the Year,-618955995917.0
HPG,2021,4,Business income tax - current,-540052856913.0
HPG,2021,4,Business income tax - deferred,-78903139004.0
HPG,2021,4,Net Profit For the Year,7419400265959.0
HPG,2021,4,Attributable to parent company,7427443249985.0
HPG,2021,4,EPS_basis,0.0
HPG,2021,3,Minority Interest,0.0
HPG,2021,3,Net Profit/Loss before tax,10978756069697.0
HPG,2021,3,Provision for credit losses,1233182111.0
HPG,2021,3,Revenue YoY (%),0.558694940942795
HPG,2021,3,Revenue (Bn. VND),38918449988301.0
HPG,2021,3,Attribute to parent company (Bn. VND),10351739079315.0
HPG,2021,3,Attribute to parent company YoY (%),1.7438490017570558
HPG,2021,3,Financial Income,879414139300.0
HPG,2021,3,Interest Expenses,-675107905208.0
HPG,2021,3,Net Sales,38673828690685.0
HPG,2021,3,Gross Profit,11860898846413.0
HPG,2021,3,Financial Expenses,-968278197988.0
HPG,2021,3,General & Admin Expenses,-235856196047.0
HPG,2021,3,Operating Profit/Loss,10961075848180.0
HPG,2021,3,Net income from associated companies,0.0
HPG,2021,3,Other Income/Expenses,-198520800191.0
HPG,2021,3,Cost of Sales,-26812929844272.0
HPG,2021,3,Selling Expenses,-582851131543.0
HPG,2021,3,Sales,38918449988301.0
HPG,2021,3,Sales deductions,-244621297616.0
HPG,2021,3,Gain/(loss) from joint ventures,7748388045.0
HPG,2021,3,Other income,216201021708.0
HPG,2021,3,Net other income/expenses,17680221517.0
HPG,2021,3,Profit before tax,10978756069697.0
HPG,2021,3,Tax For the Year,-627911872513.0
HPG,2021,3,Business income tax - current,-722192722593.0
HPG,2021,3,Business income tax - deferred,94280850080.0
HPG,2021,3,Net Profit For the Year,10350844197184.0
HPG,2021,3,Attributable to parent company,10351739079315.0
HPG,2021,3,EPS_basis,0.0
HPG,2021,2,Minority Interest,0.0
HPG,2021,2,Net Profit/Loss before tax,10349452188126.0
HPG,2021,2,Provision for credit losses,-33730842823.0
HPG,2021,2,Revenue YoY (%),0.7125431761787134
HPG,2021,2,Revenue (Bn. VND),35439772102181.0
HPG,2021,2,Attribute to parent company (Bn. VND),9721406525008.0
HPG,2021,2,Attribute to parent company YoY (%),2.5443018447632064
HPG,2021,2,Financial Income,446309785935.0
HPG,2021,2,Interest Expenses,-599661392906.0
HPG,2021,2,Net Sales,35118355099565.0
HPG,2021,2,Gross Profit,11477059063597.0
HPG,2021,2,Financial Expenses,-821220734774.0
HPG,2021,2,General & Admin Expenses,-373276114859.0
HPG,2021,2,Operating Profit/Loss,10323744211031.0
HPG,2021,2,Net income from associated companies,0.0
HPG,2021,2,Other Income/Expenses,-164838725649.0
HPG,2021,2,Cost of Sales,-23641296035968.0
HPG,2021,2,Selling Expenses,-411553847487.0
HPG,2021,2,Sales,35439772102181.0
HPG,2021,2,Sales deductions,-321417002616.0
HPG,2021,2,Gain/(loss) from joint ventures,6426058619.0
HPG,2021,2,Other income,190546702744.0
HPG,2021,2,Net other income/expenses,25707977095.0
HPG,2021,2,Profit before tax,10349452188126.0
HPG,2021,2,Tax For the Year,-604300765939.0
HPG,2021,2,Business income tax - current,-787307055464.0
HPG,2021,2,Business income tax - deferred,183006289525.0
HPG,2021,2,Net Profit For the Year,9745151422187.0
HPG,2021,2,Attributable to parent company,9721406525008.0
HPG,2021,2,EPS_basis,0.0
HPG,2021,1,Minority Interest,0.0
HPG,2021,1,Net Profit/Loss before tax,7690213194491.0
HPG,2021,1,Provision for credit losses,28321364644.0
HPG,2021,1,Revenue YoY (%),0.617341707002475
HPG,2021,1,Revenue (Bn. VND),31459012155902.0
HPG,2021,1,Attribute to parent company (Bn. VND),6977554343152.0
HPG,2021,1,Attribute to parent company YoY (%),2.053250900202336
HPG,2021,1,Financial Income,898307295649.0
HPG,2021,1,Interest Expenses,-621546963567.0
HPG,2021,1,Net Sales,31176874687620.0
HPG,2021,1,Gross Profit,8183041939039.0
HPG,2021,1,Financial Expenses,-767768026036.0
HPG,2021,1,General & Admin Expenses,-206277440053.0
HPG,2021,1,Operating Profit/Loss,7683336750890.0
HPG,2021,1,Net income from associated companies,0.0
HPG,2021,1,Other Income/Expenses,-152172822839.0
HPG,2021,1,Cost of Sales,-22993832748581.0
HPG,2021,1,Selling Expenses,-414275498764.0
HPG,2021,1,Sales,31459012155902.0
HPG,2021,1,Sales deductions,-282137468282.0
HPG,2021,1,Gain/(loss) from joint ventures,-9691518945.0
HPG,2021,1,Other income,159049266440.0
HPG,2021,1,Net other income/expenses,6876443601.0
HPG,2021,1,Profit before tax,7690213194491.0
HPG,2021,1,Tax For the Year,-684654148523.0
HPG,2021,1,Business income tax - current,-805753712197.0
HPG,2021,1,Business income tax - deferred,121099563674.0
HPG,2021,1,Net Profit For the Year,7005559045968.0
HPG,2021,1,Attributable to parent company,6977554343152.0
HPG,2021,1,EPS_basis,0.0
HPG,2020,4,Minority Interest,0.0
HPG,2020,4,Net Profit/Loss before tax,5330249297734.0
HPG,2020,4,Provision for credit losses,-9703574796.0
HPG,2020,4,Revenue YoY (%),0.43119166620894694
HPG,2020,4,Revenue (Bn. VND),26165172616887.0
HPG,2020,4,Attribute to parent company (Bn. VND),4637854585297.0
HPG,2020,4,Attribute to parent company YoY (%),1.4193220989702686
HPG,2020,4,Financial Income,355499934411.0
HPG,2020,4,Interest Expenses,-662031175138.0
HPG,2020,4,Net Sales,25778071108467.0
HPG,2020,4,Gross Profit,6267237451235.0
HPG,2020,4,Financial Expenses,-786899253782.0
HPG,2020,4,General & Admin Expenses,-214239003023.0
HPG,2020,4,Operating Profit/Loss,5331723244982.0
HPG,2020,4,Net income from associated companies,0.0
HPG,2020,4,Other Income/Expenses,-173968642319.0
HPG,2020,4,Cost of Sales,-19510833657232.0
HPG,2020,4,Selling Expenses,-283146891052.0
HPG,2020,4,Sales,26165172616887.0
HPG,2020,4,Sales deductions,-387101508420.0
HPG,2020,4,Gain/(loss) from joint ventures,-6728992807.0
HPG,2020,4,Other income,172494695071.0
HPG,2020,4,Net other income/expenses,-1473947248.0
HPG,2020,4,Profit before tax,5330249297734.0
HPG,2020,4,Tax For the Year,-669527817185.0
HPG,2020,4,Business income tax - current,-547344027784.0
HPG,2020,4,Business income tax - deferred,-122183789401.0
HPG,2020,4,Net Profit For the Year,4660721480549.0
HPG,2020,4,Attributable to parent company,4637854585297.0
HPG,2020,4,EPS_basis,0.0
HPG,2020,3,Minority Interest,0.0
HPG,2020,3,Net Profit/Loss before tax,4271871636028.0
HPG,2020,3,Provision for credit losses,4036719741.0
HPG,2020,3,Revenue YoY (%),0.6266706820026435
HPG,2020,3,Revenue (Bn. VND),24968612501405.0
HPG,2020,3,Attribute to parent company (Bn. VND),3772707270949.0
HPG,2020,3,Attribute to parent company YoY (%),1.149990015434068
HPG,2020,3,Financial Income,247689080794.0
HPG,2020,3,Interest Expenses,-540809441828.0
HPG,2020,3,Net Sales,24685562425834.0
HPG,2020,3,Gross Profit,5169065317942.0
HPG,2020,3,Financial Expenses,-708511948435.0
HPG,2020,3,General & Admin Expenses,-167706846097.0
HPG,2020,3,Operating Profit/Loss,4240988207081.0
HPG,2020,3,Net income from associated companies,0.0
HPG,2020,3,Other Income/Expenses,-143984077820.0
HPG,2020,3,Cost of Sales,-19516497107892.0
HPG,2020,3,Selling Expenses,-294052388783.0
HPG,2020,3,Sales,24968612501405.0
HPG,2020,3,Sales deductions,-283050075571.0
HPG,2020,3,Gain/(loss) from joint ventures,-5495008340.0
HPG,2020,3,Other income,174867506767.0
HPG,2020,3,Net other income/expenses,30883428947.0
HPG,2020,3,Profit before tax,4271871636028.0
HPG,2020,3,Tax For the Year,-486748887707.0
HPG,2020,3,Business income tax - current,-498845055302.0
HPG,2020,3,Business income tax - deferred,12096167595.0
HPG,2020,3,Net Profit For the Year,3785122748321.0
HPG,2020,3,Attributable to parent company,3772707270949.0
HPG,2020,3,EPS_basis,0.0
HPG,2020,2,Minority Interest,0.0
HPG,2020,2,Net Profit/Loss before tax,3095721382125.0
HPG,2020,2,Provision for credit losses,11589787924.0
HPG,2020,2,Revenue YoY (%),0.3042865598021574
HPG,2020,2,Revenue (Bn. VND),20694235681263.0
HPG,2020,2,Attribute to parent company (Bn. VND),2742826923551.0
HPG,2020,2,Attribute to parent company YoY (%),0.3476979291240579
HPG,2020,2,Financial Income,314916264858.0
HPG,2020,2,Interest Expenses,-523373576010.0
HPG,2020,2,Net Sales,20422201946373.0
HPG,2020,2,Gross Profit,3705502285684.0
HPG,2020,2,Financial Expenses,-541177322424.0
HPG,2020,2,General & Admin Expenses,-155261261079.0
HPG,2020,2,Operating Profit/Loss,3081032846691.0
HPG,2020,2,Net income from associated companies,0.0
HPG,2020,2,Other Income/Expenses,-138735283444.0
HPG,2020,2,Cost of Sales,-16716699660689.0
HPG,2020,2,Selling Expenses,-259293030237.0
HPG,2020,2,Sales,20694235681263.0
HPG,2020,2,Sales deductions,-272033734890.0
HPG,2020,2,Gain/(loss) from joint ventures,16345909889.0
HPG,2020,2,Other income,153423818878.0
HPG,2020,2,Net other income/expenses,14688535434.0
HPG,2020,2,Profit before tax,3095721382125.0
HPG,2020,2,Tax For the Year,-340159634329.0
HPG,2020,2,Business income tax - current,-368137200148.0
HPG,2020,2,Business income tax - deferred,27977565819.0
HPG,2020,2,Net Profit For the Year,2755561747796.0
HPG,2020,2,Attributable to parent company,2742826923551.0
HPG,2020,2,EPS_basis,0.0
HPG,2020,1,Minority Interest,0.0
HPG,2020,1,Net Profit/Loss before tax,2657091220016.0
HPG,2020,1,Provision for credit losses,22391252573.0
HPG,2020,1,Revenue YoY (%),0.28136336796244954
HPG,2020,1,Revenue (Bn. VND),19451060972271.0
